name,ring,quadrant,isNew,description,priority
IdentityServer - PAT,hold,Techniques,FALSE,Comment offrir la fonctionnalité de Personal Access Token à nos clients ? - http://ideasof.andersaberg.com/development/personal-access-tokens-with-identityserver,99
API throtling,hold,Techniques,FALSE,"Limit the number of hit per second per customer/user to avoid deny of service because a customer introduced a bug in his scripts
",4
JS - How to handle money ?,hold,Techniques,FALSE,"Handle money properly and avoind rounding issue
https://medium.com/@magnusjt/how-to-handle-money-in-javascript-b954d612373c
ex: (2090.5 * 8.61).toFixed(2) => 17999.20 // Should be 17999.21
https://dev.azure.com/prothesis-dental-solutions/ProthesisDentalSolutions/_wiki/wikis/Prothesis-Dental-Software.wiki/283/2022-11-25-Money-with-Javascript ",
JS - Storybook,hold,Tools,FALSE,"Storybook is an open-source tool that helps you develop UI components in isolation. It runs in your codebase but separately from your application, so it works like a sandbox, allowing developers to not get distracted by incomplete APIs, flaky data, and other external dependencies. It integrates with frameworks like React, Vue, Svelte, Angular, and others.

Think of Storybook as an actual book, with an index of pages that link to your UI components. Every component has stories to tell about itself, and these stories represent the different UI states of that component. Regardless of the situation, even if you're offline, you will be able to access that page and easily find and play around with the components.

Due to its productivity and collaboration advantages, Storybook is used by more than 30,000 open source projects, especially component libraries. However, many tech companies, such as Airbnb, Atlassian, and JetBrains, are among its users.",
Kafka,hold,Platforms,FALSE,Communication asynchrone entre application dans le data center,
Kubernetes,hold,Platforms,FALSE,"Reduce a lot time to market when new hosting and devops deployment pipeline is needed.
Better resource mutualization on the datacenter.
Reproductible environement in Production/Stage/Test",
PostgreSQL - badger,hold,Tools,FALSE,"<ul>
<li>Savoir comment réagire en cas de lenteur en production lié à la base de données</li>
<li>Etre capable d'identifier les slow queries</li>
<li><a>https://aws.amazon.com/blogs/database/optimizing-and-tuning-queries-in-amazon-rds-postgresql-based-on-native-and-external-tools/</a></li>
<li><a>https://pgbadger.darold.net/</a></li>",5
PWA - Progressive Web App,hold,Platforms,FALSE,"<ul>
<li>Permettre l'installation de Prothesis Cloud</li>
<li>Permettre une utilisation en mode déconnectée</li>
</ul>

https://www.digitalocean.com/community/tutorials/how-to-build-progressive-web-apps-with-angular",99
TS - TsDoc,hold,Tools,FALSE,Format de commentaire permettant la génération de doc du code Typescrit,
VsCode for C#,hold,Tools,FALSE,N'utiliser qu'un seul IDE qui est X platform et qui marcherait sous Linux et Mac M1 (ARM),
Plateform de paiement marketplace,hold,Platforms,FALSE,Permettre au cabinet dentaire de régler les factures émisent par les labos,6
Etude des formats CAD (exocad...),hold,Platforms,TRUE,"Intégration du flux numérique :
<ul>
<li>Import data from Exocad to a new production flow/work form (sync ?)</li>
<li>Export an Order/work form to an Exocad XML</li>
</ul>",
Nouvelle librairie de Charts,hold,languages-and-frameworks,TRUE,,
PostgreSQL/EF core - Ordre de tri naturel,hold,Techniques,TRUE,,
Angular - Warn user of unsaved changes before leaving,hold,Techniques,TRUE,,
Angular - Drag'n drop multidimensionnel et avec scroll de page,hold,Techniques,TRUE,,
"Acquisition d'images (appareil photo smartphone, webcam, scanner...)",hold,languages-and-frameworks,TRUE,,
Stockage de fichiers,hold,Platforms,TRUE,"<p>Sockage de fichier bas coût dans le cloud. Sur AWS, c'est S3 + coût de bande passante sortante. Peut-on espérer mieux avec une solution hybride AWS + ?</p>",
IdentityServer - Mutliple domains,hold,Techniques,TRUE,<p>Utilisation d'identity server sur un autre domaine</p>,
IdentityServer - PCSoft client,hold,languages-and-frameworks,TRUE,<p>Ouverture de l'API à Dentalink</p>,
Centos replacement,hold,Platforms,TRUE,"Centos is reaching end of life and the centos project is not focussing anymore on stable production distribution but a Redhat upstream.
Thus we need to find a replacement : RockyLinux (suggested by Pictime) or Debian (Yanal's favorite)",
